"Date","File","SoilType","SuctionRate","Time","Volume","SoilMoisture_12cm","Group"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","PSAM",2,0,90,12.3,"1"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","PSAM",2,30,84.5,12.3,"1"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","PSAM",2,60,79.2,12.3,"1"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","PSAM",2,90,74.1,12.3,"1"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","PSAM",2,120,69.3,12.3,"1"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","PSAM",2,180,61.8,12.3,"1"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","PSAM",2,240,54.9,12.3,"1"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","PSAM",2,300,48.4,12.3,"1"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","TCAM",3,0,90,9.1,"2"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","TCAM",3,30,87.3,9.1,"2"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","TCAM",3,60,84.9,9.1,"2"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","TCAM",3,90,82.7,9.1,"2"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","TCAM",3,120,80.8,9.1,"2"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","TCAM",3,180,77.5,9.1,"2"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","TCAM",3,240,74.6,9.1,"2"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","THCL",2,0,90,18.7,"3"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","THCL",2,30,88.5,18.7,"3"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","THCL",2,60,87.2,18.7,"3"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","THCL",2,90,86,18.7,"3"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","THCL",2,120,84.9,18.7,"3"
"2026-06-01","Soil_Infiltration_FieldData_20260601.xlsx","THCL",2,180,83.2,18.7,"3"
"2026-06-08","Soil_Infiltration_FieldData_20260608.xlsx","PSAM",1,0,90,10.5,"1"
"2026-06-08","Soil_Infiltration_FieldData_20260608.xlsx","PSAM",1,30,83.1,10.5,"1"
"2026-06-08","Soil_Infiltration_FieldData_20260608.xlsx","PSAM",1,60,76.4,10.5,"1"
"2026-06-08","Soil_Infiltration_FieldData_20260608.xlsx","PSAM",1,90,70.2,10.5,"1"
"2026-06-08","Soil_Infiltration_FieldData_20260608.xlsx","PSAM",1,120,64.5,10.5,"1"
"2026-06-08","Soil_Infiltration_FieldData_20260608.xlsx","PSAM",1,180,54.8,10.5,"1"
"2026-06-08","Soil_Infiltration_FieldData_20260608.xlsx","PSAM",1,240,46,10.5,"1"
"2026-06-08","Soil_Infiltration_FieldData_20260608.xlsx","THCL",1,0,90,20.1,"2"
"2026-06-08","Soil_Infiltration_FieldData_20260608.xlsx","THCL",1,30,88.8,20.1,"2"
"2026-06-08","Soil_Infiltration_FieldData_20260608.xlsx","THCL",1,60,87.7,20.1,"2"
"2026-06-08","Soil_Infiltration_FieldData_20260608.xlsx","THCL",1,90,86.7,20.1,"2"
"2026-06-08","Soil_Infiltration_FieldData_20260608.xlsx","THCL",1,120,85.8,20.1,"2"
"2026-06-08","Soil_Infiltration_FieldData_20260608.xlsx","THCL",1,180,84.3,20.1,"2"
"2026-06-08","Soil_Infiltration_FieldData_20260608.xlsx","THCL",1,240,82.9,20.1,"2"
