"Date","SoilType","PlantID","Sensor","Depth","Value","Flag"
"2026-06-11","TCAL","0001","T",10,25.8,NA
"2026-06-11","TCAL","0001","T",18,25,NA
"2026-06-11","TCAL","0001","M",12,8.7,NA
"2026-06-11","TCAL","0001","M",20,12.6,NA
"2026-06-11","TCAL","2390","T",10,26.2,NA
"2026-06-11","TCAL","2390","T",20,25,NA
"2026-06-11","TCAL","2390","M",12,3.2,NA
"2026-06-11","TCAL","2390","M",20,4.8,NA
"2026-06-11","TCAL","2233","T",10,25.6,NA
"2026-06-11","TCAL","2233","T",20,24.9,NA
"2026-06-11","TCAL","2233","M",12,20.2,NA
"2026-06-11","TCAL","2233","M",20,26.9,NA
"2026-06-11","TCAL","0002","T",10,24.3,NA
"2026-06-11","TCAL","0002","T",15,23.9,NA
"2026-06-11","TCAL","0002","M",12,24.1,NA
"2026-06-11","TCAL","0002","M",20,27.8,NA
"2026-06-11","TCAM","2274","M",12,15,NA
"2026-06-11","TCAM","2274","M",20,16.3,NA
"2026-06-11","TCAM","2274","T",10,31.1,NA
"2026-06-11","TCAM","2274","M",20,14.2,NA
"2026-06-11","TCAM","2274","M",20,19,NA
"2026-06-11","TCAM","2274","M",12,15.2,NA
"2026-06-11","TCAM","2274","M",12,7,NA
"2026-06-11","TCAM","2274","T",15,29.6,NA
"2026-06-11","TCAM","2274","T",20,28.4,NA
"2026-06-11","TCAM","2286","M",12,8.1,NA
"2026-06-11","TCAM","2286","M",12,7.7,NA
"2026-06-11","TCAM","2286","M",12,6.8,NA
"2026-06-11","TCAM","2286","T",10,24.7,NA
"2026-06-11","TCAM","2286","T",15,24.2,NA
"2026-06-11","TCAM","2286","T",20,24,NA
"2026-06-11","TCAM","2286","M",20,13.6,NA
"2026-06-11","TCAM","2286","M",20,11.8,NA
"2026-06-11","TCAM","2286","M",20,9.1,NA
"2026-06-11","TCAM","2404","T",10,25,NA
"2026-06-11","TCAM","2404","M",12,11.6,NA
"2026-06-11","TCAM","2404","M",12,8.4,NA
"2026-06-11","TCAM","2404","M",12,4.8,NA
"2026-06-11","TCAM","2404","M",20,13.5,NA
"2026-06-11","TCAM","2404","M",20,12.1,NA
"2026-06-11","TCAM","2404","M",20,10,NA
"2026-06-11","TCAM","2005","M",12,8.4,NA
"2026-06-11","TCAM","2005","M",12,9.1,NA
"2026-06-11","TCAM","2005","M",12,14.7,NA
"2026-06-11","TCAM","2005","M",20,16.1,NA
"2026-06-11","TCAM","2005","M",20,12.9,NA
"2026-06-11","TCAM","2005","M",20,11.8,NA
"2026-06-11","TCAM","2036","M",12,5.8,NA
"2026-06-11","TCAM","2036","M",12,8.1,NA
"2026-06-11","TCAM","2036","M",12,8.5,NA
"2026-06-11","TCAM","2036","M",20,10.9,NA
"2026-06-11","TCAM","2036","M",20,10.4,NA
"2026-06-11","TCAM","2036","M",20,12.5,NA
