"Date","File","SoilType","SuctionRate","Time","Volume","SoilMoisture_12cm","Group"
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,0,91,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,30,87,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,60,85,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,90,83,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,120,80,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,150,78,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,180,76,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,210,74,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,240,71,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,270,69,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,300,67,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,330,64,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,360,61,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,390,59,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,420,57,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,450,54,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,480,52,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,510,49,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,540,47,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,570,44,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,600,42,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,630,39,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,660,36,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,690,34,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,720,31,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,750,28.5,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,780,26,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,810,23,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,840,20,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,870,18,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,900,15,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,930,12,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,960,10,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,990,7,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,1020,4,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,1050,1,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","PSAM",2,1080,0,7.8,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","THCL",2,0,92,4.2,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","THCL",2,270,83,4.2,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","THCL",2,380,78,4.2,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","THCL",2,490,75,4.2,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","THCL",2,600,71,4.2,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","THCL",2,750,66,4.2,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","THCL",2,900,60,4.2,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","THCL",2,1050,55,4.2,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","THCL",2,1200,49,4.2,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","THCL",2,1350,44,4.2,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","THCL",2,1500,38,4.2,1
"2026-05-28","Soil_Infiltration_FieldData_20260528.xlsx","THCL",2,1650,33,4.2,1
